timestamp,markable_pkts_recvd_
10.000000100000,0.00
10.000001120000,0.00
10.000002140000,0.00
10.000003160000,0.00
10.000004180000,0.00
10.000005200000,1.00
10.000006220000,9.00
10.000007240000,17.00
10.000008260000,26.00
10.000009280000,34.00
10.000010300000,42.00
10.000011320000,51.00
10.000012340000,59.00
10.000013360000,67.00
10.000014380000,75.00
10.000015400000,84.00
10.000016420000,92.00
10.000017440000,100.00
10.000018460000,109.00
10.000019480000,117.00
10.000020500000,125.00
10.000021520000,134.00
10.000022540000,142.00
10.000023560000,150.00
10.000024580000,158.00
10.000025600000,167.00
10.000026620000,175.00
10.000027640000,183.00
10.000028660000,192.00
10.000029680000,200.00
10.000030700000,208.00
10.000031720000,216.00
10.000032740000,225.00
10.000033760000,233.00
10.000034780000,241.00
10.000035800000,250.00
10.000036820000,258.00
10.000037840000,266.00
10.000038860000,274.00
10.000039880000,283.00
10.000040900000,291.00
10.000041920000,299.00
10.000042940000,308.00
10.000043960000,316.00
10.000044980000,324.00
10.000046000000,332.00
10.000047020000,341.00
10.000048040000,349.00
10.000049060000,357.00
10.000050080000,366.00
10.000051100000,374.00
10.000052120000,382.00
10.000053140000,390.00
10.000054160000,399.00
10.000055180000,407.00
10.000056200000,415.00
10.000057220000,424.00
10.000058240000,432.00
10.000059260000,440.00
10.000060280000,449.00
10.000061300000,457.00
10.000062320000,465.00
10.000063340000,473.00
10.000064360000,482.00
10.000065380000,490.00
10.000066400000,498.00
10.000067420000,507.00
10.000068440000,515.00
10.000069460000,523.00
10.000070480000,531.00
10.000071500000,540.00
10.000072520000,548.00
10.000073540000,556.00
10.000074560000,565.00
10.000075580000,573.00
10.000076600000,581.00
10.000077620000,589.00
10.000078640000,598.00
10.000079660000,606.00
10.000080680000,614.00
10.000081700000,623.00
10.000082720000,631.00
10.000083740000,639.00
10.000084760000,647.00
10.000085780000,656.00
10.000086800000,664.00
10.000087820000,672.00
10.000088840000,681.00
10.000089860000,689.00
10.000090880000,697.00
10.000091900000,706.00
10.000092920000,714.00
10.000093940000,722.00
10.000094960000,730.00
10.000095980000,739.00
10.000097000000,747.00
10.000098020000,755.00
10.000099040000,764.00
10.000100060000,772.00
10.000101080000,780.00
10.000102100000,788.00
10.000103120000,797.00
10.000104140000,805.00
10.000105160000,813.00
10.000106180000,822.00
10.000107200000,830.00
10.000108220000,838.00
10.000109240000,846.00
10.000110260000,855.00
10.000111280000,863.00
10.000112300000,871.00
10.000113320000,880.00
10.000114340000,888.00
10.000115360000,896.00
10.000116380000,904.00
10.000117400000,913.00
10.000118420000,921.00
10.000119440000,929.00
10.000120460000,938.00
10.000121480000,946.00
10.000122500000,954.00
10.000123520000,963.00
10.000124540000,971.00
10.000125560000,979.00
10.000126580000,987.00
10.000127600000,996.00
10.000128620000,1004.00
10.000129640000,1012.00
10.000130660000,1021.00
10.000131680000,1029.00
10.000132700000,1029.00
10.000133720000,1029.00
10.000134740000,1029.00
10.000135760000,1029.00
10.000136780000,1029.00
10.000137800000,1030.00
10.000138820000,1030.00
10.000139840000,1030.00
10.000140860000,1030.00
10.000141880000,1030.00
10.000142900000,1031.00
10.000143920000,1031.00
10.000144940000,1031.00
10.000145960000,1031.00
10.000146980000,1031.00
10.000148000000,1031.00
10.000149020000,1031.00
10.000150040000,1031.00
10.000151060000,1031.00
10.000152080000,1031.00
10.000153100000,1031.00
10.000154120000,1031.00
10.000155140000,1031.00
10.000156160000,1031.00
10.000157180000,1031.00
10.000158200000,1031.00
10.000159220000,1031.00
10.000160240000,1031.00
10.000161260000,1031.00
10.000162280000,1031.00
10.000163300000,1031.00
10.000164320000,1031.00
10.000165340000,1031.00
10.000166360000,1031.00
10.000167380000,1031.00
10.000168400000,1031.00
10.000169420000,1031.00
10.000170440000,1031.00
10.000171460000,1031.00
10.000172480000,1031.00
10.000173500000,1031.00
10.000174520000,1031.00
10.000175540000,1031.00
10.000176560000,1031.00
10.000177580000,1031.00
10.000178600000,1031.00
10.000179620000,1031.00
10.000180640000,1031.00
10.000181660000,1031.00
10.000182680000,1031.00
10.000183700000,1031.00
10.000184720000,1031.00
10.000185740000,1031.00
10.000186760000,1031.00
10.000187780000,1031.00
10.000188800000,1031.00
10.000189820000,1031.00
10.000190840000,1031.00
10.000191860000,1031.00
10.000192880000,1031.00
10.000193900000,1031.00
10.000194920000,1031.00
10.000195940000,1031.00
10.000196960000,1031.00
